Date : 2022-03-27 13:40:01
Directory : c:\School\oop_project\TDT4100_prosjekt_ingara
Total : 61 files,  1864 codes, 227 comments, 515 blanks, all 2606 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Java               |         46 |      1,310 |        222 |        485 |      2,017 |
| XML                |          6 |        515 |          0 |          1 |        516 |
| Generic Pseudocode |          6 |         27 |          5 |         23 |         55 |
| Python             |          1 |         12 |          0 |          6 |         18 |
| Markdown           |          2 |          0 |          0 |          0 |          0 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         61 |      1,864 |        227 |        515 |      2,606 |
| ..                                                                                                       |         28 |     -1,349 |       -160 |       -501 |     -2,010 |
| ..\..                                                                                                    |         28 |     -1,349 |       -160 |       -501 |     -2,010 |
| ..\..\oop                                                                                                |         28 |     -1,349 |       -160 |       -501 |     -2,010 |
| ..\..\oop\TDT4100_prosjekt_ingara                                                                        |         28 |     -1,349 |       -160 |       -501 |     -2,010 |
| ..\..\oop\TDT4100_prosjekt_ingara\src                                                                    |         26 |     -1,242 |       -159 |       -462 |     -1,863 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main                                                               |         25 |     -1,217 |       -159 |       -453 |     -1,829 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java                                                          |         23 |     -1,048 |       -159 |       -447 |     -1,654 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject                                           |          3 |        -53 |        -22 |        -19 |        -94 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project                                                  |         19 |       -989 |       -137 |       -427 |     -1,553 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board                                            |          3 |       -199 |         -6 |        -78 |       -283 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project\Files                                            |          1 |         -3 |         -3 |         -5 |        -11 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project\Movement                                         |          2 |       -544 |       -106 |       -214 |       -864 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces                                           |          7 |        -93 |        -13 |        -48 |       -154 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode                                       |          2 |       -101 |         -9 |        -57 |       -167 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\resources                                                     |          2 |       -169 |          0 |         -6 |       -175 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\resources\exampleproject                                      |          1 |        -18 |          0 |         -3 |        -21 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\main\resources\project                                             |          1 |       -151 |          0 |         -3 |       -154 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\test                                                               |          1 |        -25 |          0 |         -9 |        -34 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\test\java                                                          |          1 |        -25 |          0 |         -9 |        -34 |
| ..\..\oop\TDT4100_prosjekt_ingara\src\test\java\exampleproject                                           |          1 |        -25 |          0 |         -9 |        -34 |
| src                                                                                                      |         31 |      3,106 |        386 |        977 |      4,469 |
| src\main                                                                                                 |         29 |      3,069 |        386 |        962 |      4,417 |
| src\main\java                                                                                            |         27 |      2,385 |        386 |        955 |      3,726 |
| src\main\java\exampleproject                                                                             |          3 |         53 |         22 |         19 |         94 |
| src\main\java\project                                                                                    |         23 |      2,326 |        364 |        935 |      3,625 |
| src\main\java\project\Board                                                                              |          2 |        189 |          6 |         67 |        262 |
| src\main\java\project\Files                                                                              |          1 |          3 |          3 |          5 |         11 |
| src\main\java\project\Movement                                                                           |          4 |      1,373 |        266 |        544 |      2,183 |
| src\main\java\project\Pieces                                                                             |          7 |        100 |          6 |         48 |        154 |
| src\main\java\project\pseudocode                                                                         |          4 |        128 |         14 |         80 |        222 |
| src\main\resources                                                                                       |          2 |        684 |          0 |          7 |        691 |
| src\main\resources\exampleproject                                                                        |          1 |         18 |          0 |          3 |         21 |
| src\main\resources\project                                                                               |          1 |        666 |          0 |          4 |        670 |
| src\python                                                                                               |          1 |         12 |          0 |          6 |         18 |
| src\test                                                                                                 |          1 |         25 |          0 |          9 |         34 |
| src\test\java                                                                                            |          1 |         25 |          0 |          9 |         34 |
| src\test\java\exampleproject                                                                             |          1 |         25 |          0 |          9 |         34 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\School\oop\TDT4100_prosjekt_ingara\README.md                                                          | Markdown           |        -60 |          0 |        -29 |        -89 |
| c:\School\oop\TDT4100_prosjekt_ingara\pom.xml                                                            | XML                |        -47 |         -1 |        -10 |        -58 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\Calculator.java                       | Java               |        -10 |        -22 |         -4 |        -36 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\ExampleProjectApp.java                | Java               |        -17 |          0 |         -7 |        -24 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\ExampleProjectController.java         | Java               |        -26 |          0 |         -8 |        -34 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\module-info.java                                     | Java               |         -6 |          0 |         -1 |         -7 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\BoardController.java                         | Java               |        -12 |          0 |         -6 |        -18 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Chessboard.java                        | Java               |       -135 |         -5 |        -37 |       -177 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\ShadowBoard.java                       | Java               |        -11 |          0 |         -9 |        -20 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Tile.java                              | Java               |        -53 |         -1 |        -32 |        -86 |
| c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\ChessApp.java                                | Java               |        -17 |          0 |         -7 |        -24 |
